일시,평균기온,평균최고기온,최고기온,평균최저기온,최저기온,평균월강수량,최다월강수량,1시간최다강수량,평균풍속,최대풍속,최대순간풍속,평균습도,최저습도,일조합,일사합,배추값,무값,고추값,마늘값,쪽파값
2003,7.7,14,25.4,1.6,-8.9,29.2,72.1,17,2.1,22.4,27.9,60,1,247.9,529.72,4343,1715,1975,6735,4791
2002,3.4,8.9,21.8,-1.6,-24,58.7,94.9,30.5,1.8,26.8,32.5,67,5,193.8,345.07,4366,2091,1595,7032,5827
2001,2.5,7.4,23.6,-1.5,-14.2,83.7,178.7,33,1.7,26.6,32,68,9,157.1,254.55,4608,3104,1610,6905,6918
1912,2.5,7.8,19.8,-2.1,-15.6,26.5,50.3,13.5,1.7,22.7,28.4,66,6,175.4,247.3,4594,2866,1647,7141,5781
1911,8.4,14.9,24.7,3.1,-9.7,57.4,157.3,52.1,1.6,22.2,26,69,7,186.9,294.58,4589,2595,1616,6908,5269
1910,15.5,21.3,29.9,10.7,-1.9,160.5,661.3,90.2,1.6,22.4,26.7,75,15,205.6,391.65,6542,2725,1545,7130,5834
1909,21.8,26.5,34.2,18,4.4,223,439.3,55.5,1.6,42.1,54.4,80,17,148,388.24,5362,1969,1254,7107,5619
1908,26.2,31,37.6,22.4,12.3,136.9,293.5,60.5,1.6,19.7,27.1,78,22,224.8,552.19,3470,1572,1262,7235,5683
1907,24.8,29.1,36.9,21.5,11.8,226.5,512.2,66.4,1.8,16.1,24.7,79,14,169.7,497.13,3167,1613,1358,7879,7300
1906,21.3,26.8,35.7,16.7,4.3,150,442.1,40.5,1.6,15.9,25.8,73,12,229,610.32,2697,1627,1338,9173,7008
1905,18.6,25.5,35.6,11.8,-3.6,56.7,207.8,23.5,2,22,30.3,57,4,298.2,720.71,2364,1596,1353,9233,4614
1904,12,18,29.8,6.2,-8.4,78.9,130.4,10.8,1.9,19.9,25.1,61,2,204,504.93,2271,1332,1502,9662,3566
1903,7.5,13.8,25.1,1.7,-8,39.4,79.2,28.5,2.2,21.5,28.2,59,2,224.3,469.93,2252,1320,1592,9465,4126
1902,2.4,8,18.4,-2.6,-16.6,32.2,65.3,27,1.9,18.1,23.6,57,1,189.1,336.18,2464,1370,1536,9489,5443
1901,0.3,6.2,15.3,-4.8,-20.1,8,20.2,7.5,2,19,27.2,54,1,219.5,306.34,2626,1421,1522,9216,5256
